start_dt,end,duration,duration_hours,facility,facility_id,waterbody,quantity,treated,reason,county,city,status,incident_id,lat,lon,sheet
2025-04-06 02:23:00,04/06/2025 08:50:00,6 Hours - Ended,6.0,NYCDEP North River WWTP,NY0026247,Please see Dep's website below.,Unknown Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition.,New York,Please see Dep's website below.,New,,-73.958,40.8253,April 1 - August 31 2025
2025-04-06 07:00:00,04/06/2025 08:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see Dep's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition.,New York,Please see Dep's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-07 13:00:00,04/07/2025 15:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-11 13:00:00,04/11/2025 15:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-12 00:50:00,04/12/2025 06:20:00,5 hours 30 min Hours - Ended,5.0,NYCDEP Hunts Point WWTP,NY0026191,Upper East River,378 Mgd at time of problem Gallons Estimated,Untreated,Unknown - Unable to pump 2x design flow,New York,Bronx,New,,-73.8858,40.8041,April 1 - August 31 2025
2025-04-12 07:00:00,04/12/2025 08:00:00,2 Hrs Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-13 07:00:00,04/13/2025 08:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see Dep's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition.,New York,Please see Dep's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-14 13:00:00,04/14/2025 15:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-15 07:00:00,04/15/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-23 08:30:00,04/23/2025 13:38:00,5 Hours - Ended,5.0,NYCDEP Tallman Island WWTP,NY0026239,FLUSHING BAY,7084 Gallons Estimated,Untreated,Pipe Break - a force main break and 10% bypass into Flushing Bay,New York,College Pt,Close,,-73.8464,40.7731,April 1 - August 31 2025
2025-04-23 08:30:00,04/23/2025 12:30:00,4 Hours - Ongoing,4.0,NYCDEP Tallman Island WWTP,NY0026239,FLUSHING BAY,100 Gallons per Minute Estimated,Untreated,Pipe Break - a force main break and 10% bypass into Flushing Bay,New York,College Pt,New,,-73.8464,40.7731,April 1 - August 31 2025
2025-04-26 07:00:00,04/26/2025 08:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-26 21:00:00,04/27/2025 02:45:00,5.75 Hours - Ended,5.75,NYCDEP North River WWTP,NY0026247,Hudson River,Unknown Gallons Estimated,Untreated,Weather Conditions - Wet weather event caused excessive bar screen matting,New York,New York,New,,-73.958,40.8253,April 1 - August 31 2025
2025-04-27 07:00:00,04/27/2025 08:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-05 07:00:00,05/05/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.9245,40.7244,April 1 - August 31 2025
